selected_text,sentiment
"I`d have responded, if I were going",3
Sooo SAD,1
bullying me,1
leave me alone,1
"Sons of bitches,",1
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,3
fun,5
Soooo high,3
Both of you,3
Wow... u just became cooler.,5
"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",3
like,5
DANGERously,1
lost,1
test test from the LG enV2,3
"Uh oh, I am sunburned",1
*sigh*,1
sick,1
onna,1
Hes just not that into you,3
"oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",3
interesting.,5
is cleaning the house for her family who is comming later today..,3
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,3
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,3
"the free fillin` app on my ipod is fun, im addicted",5
I`m sorry.,1
.no internet,1
fun,5
Power back up not working too,1
Quite....heavenly,5
hope,5
well so much for being unhappy for about 10 minute,1
funny.,5
"Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",3
"Thats it, its the end. Tears for Fears",3
miss,1
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",3
soooooo sleeeeepy!!!,1
A little happy fo,5
"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",3
avid fan of,5
MAYDAY?!,3
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",3
I love to!,5
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,3
SUCKKKKKK,1
:visiting my friendster and facebook,3
dont like go,1
d I`m not thrilled at all with mine.,1
Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,3
"also bored at school, its my third freelesson( freistunde )",3
hm... Both of us I guess...,3
it is ****...u have dissappointed me that past few days,1
romance zero is funny,5
I`d rather do the early run..but I am a morning runner,3
hurts,1
will be back later.,3
Torn ace of hearts,1
what fun are you speaking of?,3
"i lost all my friends, i`m alone and sleepy..",1
haha yes,3
I give in to easily,1
favorite,5
jealous..,1
Is at a photoshoot.,3
s awesome,5
